"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85"
"1987",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,2,1,4,6,5,13,11,8,22,29,35,49,45,69,92,109,140,154,155,204,250,281,311,386,419,404,431,468,457,479,485,504,459,482,421,441,408,394,323,290,277,200,228,179
"1988",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,6,5,6,7,14,10,19,15,33,32,44,57,65,67,107,127,161,178,226,231,322,327,351,424,472,447,478,513,532,527,513,539,458,502,466,426,366,363,303,262,264,240,181
"1989",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,2,2,1,4,1,5,11,13,18,28,23,43,32,59,70,84,114,140,158,226,253,264,321,374,402,480,511,539,562,565,523,530,619,534,532,506,494,464,412,380,331,295,274,211,176
"1990",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,5,4,4,9,4,8,14,16,16,34,44,61,50,70,93,107,118,152,195,250,287,353,362,415,494,563,599,643,674,691,655,671,667,631,659,620,560,549,481,474,419,310,302,285,223
"1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,1,6,6,8,14,20,27,39,60,70,98,115,123,143,177,191,266,317,379,427,527,580,629,710,765,821,883,994,885,931,932,861,893,777,804,634,630,495,478,470,401,333,288
"1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,4,2,11,7,13,19,20,38,36,59,83,93,109,162,155,202,256,256,347,408,482,551,594,678,785,860,933,975,1000,1022,1135,1056,985,981,977,880,812,826,660,557,545,426,407,386,262
"1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,2,4,3,13,6,12,17,23,20,29,66,78,90,103,136,159,200,203,276,286,335,423,440,472,613,682,779,832,840,901,969,978,971,944,929,836,852,708,705,621,506,476,435,361,341,290,268
"1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,6,8,12,18,21,40,57,58,101,107,120,145,151,177,245,252,300,318,364,430,472,534,601,653,720,740,820,824,864,804,863,813,785,664,619,568,527,456,361,327,327,287,201,193
"1995",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,4,2,7,8,5,10,22,28,48,48,77,103,111,148,161,162,230,220,287,341,354,382,418,466,504,585,643,701,684,743,731,762,764,758,795,763,617,567,521,486,430,358,341,262,234,232,148
"1996",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,5,7,16,16,15,26,32,53,59,91,122,128,155,192,212,231,265,320,344,325,429,449,492,519,618,611,635,655,721,738,737,785,766,661,692,666,595,527,534,381,330,316,296,232,229,193
