"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85"
"1988",NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,1,NA,NA,1,NA,2,NA,1,NA,1,1,1,1,2,1,2,2,NA,3,1,1,5,8,4,2,8,3,8,6,2,8,8,3,7,5,4,4,6,3,7,9,13,12,6,5,6,20,17,10,8,9,5,8,6,7,5,7,7,4,2,4,2,3,NA,NA
"1989",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,2,2,1,NA,2,1,NA,3,2,5,1,1,4,5,NA,5,7,10,9,5,5,9,6,8,5,6,8,8,8,7,10,7,6,7,17,9,4,8,9,6,11,17,13,8,9,11,8,9,7,8,3,5,5,3,3,2,1
"1990",1,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,1,NA,NA,1,2,3,2,2,NA,2,4,6,2,2,3,3,3,4,3,3,5,5,3,7,5,8,8,9,10,5,10,7,17,13,9,8,15,9,5,8,10,19,8,13,4,9,5,9,7,8,6,4,4,5,5,3,2,4,3
"1991",NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,1,1,NA,1,NA,1,NA,1,2,NA,NA,2,1,1,2,1,1,2,3,1,4,6,2,3,4,2,4,3,5,5,8,4,11,10,14,8,10,10,11,14,7,10,5,5,8,10,9,12,13,13,11,9,12,11,8,14,10,5,10,3,5,5,2,4,3,4,1
"1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,NA,1,NA,1,2,NA,NA,4,2,2,1,9,5,3,2,4,2,5,7,4,2,6,5,7,4,5,6,8,7,11,8,1,3,8,11,14,18,6,13,7,13,9,13,14,17,15,11,8,7,7,6,9,8,6,3,NA,6,1
"1993",NA,NA,NA,1,NA,NA,NA,2,1,1,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,3,1,1,1,NA,NA,NA,NA,1,NA,1,3,NA,NA,2,3,2,NA,5,7,1,5,2,5,7,5,4,3,3,5,2,8,5,6,8,6,7,7,5,8,13,8,14,12,11,13,11,6,15,13,16,13,8,8,12,13,5,9,5,5,1,3,4,2,2
"1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,1,2,2,1,2,1,NA,1,4,5,2,1,2,4,7,7,6,4,4,9,4,5,12,7,2,9,4,8,7,16,11,7,8,11,11,8,7,8,12,7,8,8,17,14,11,9,8,8,10,10,8,3,6,4,8,4,2
"1995",NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,2,NA,2,2,NA,NA,1,NA,2,1,2,NA,6,3,2,6,1,8,8,8,7,9,2,7,9,6,8,5,9,7,4,14,6,9,6,13,9,13,13,11,10,12,10,8,9,8,11,10,10,5,3,7,3,7,3,4,6,NA,2
"1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,1,NA,NA,1,4,NA,1,1,3,3,NA,4,4,5,5,1,5,4,4,7,2,10,5,11,9,7,15,14,5,10,8,5,10,17,9,12,4,7,10,6,6,27,14,16,8,13,9,7,10,18,11,7,6,6,6,1,3,2
"1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,2,NA,3,NA,NA,1,NA,1,2,NA,9,NA,1,8,3,2,3,5,3,7,7,1,3,4,5,10,12,9,5,12,11,6,7,10,11,7,10,10,5,5,12,9,13,16,10,13,11,10,14,7,11,14,15,16,7,5,7,4,1,4,NA
"1998",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,1,1,1,2,2,1,1,1,3,2,4,2,2,4,4,7,4,6,4,7,8,9,8,7,10,12,7,6,7,3,5,12,6,10,11,12,10,13,13,14,8,14,11,11,13,14,8,7,8,4,7,15,6,4,4,3
"1999",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,2,NA,4,NA,4,2,2,4,1,NA,1,5,4,11,5,5,9,11,9,10,9,12,7,10,6,15,12,6,8,9,11,14,14,10,16,12,12,14,15,12,11,10,12,12,10,13,11,17,10,8,13,6,11,NA,3
"2000",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,1,1,1,1,NA,1,NA,NA,1,2,NA,1,2,1,1,2,3,2,2,1,3,2,4,1,5,5,5,8,8,7,9,6,6,15,13,10,4,7,16,14,12,14,9,13,5,8,7,13,10,17,13,8,17,9,14,7,13,16,10,3,8,11,11,6,10,4,5
